Batch,MandatedElectiveTypes
EE17,HS
ME17,HS
NA17,HS
PH17,HS
BS17,MA
CH16,HS
CE16,HS
ME16,HS,MA
MM16,HS,MA
NA16,MA
BE16,HS
PH16,HS,MA
CE15,HS
